SU59	19242404	4266706	2723	1831	3501	31
SU59-10-45	19239008	4267960	2553	1894	3539	37
SU59-10-49	19241558	4267200	2681	1855	3498	44
SU59-10-51	19243265	4267453	2766	1868	3489	43
SU59-10-53	19244433	4267447	2825	1868	3488	54
SU59-11-50	19241928	4266440	2712	1810	3501	35
SU59-11-51	19242711	4265930	2739	1792	3496	37
SU59-12-49	19241469	4265393	2676	1765	3505	31
SU59-12-50	19240754	4264740	2641	1732	3503	54
SU59-12-54	19245977	4265373	2902	1764	3461	44
SU59-13-48	19240458	4263120	2626	1651	3520	33
SU59-13-49	19241064	4263394	2656	1665	3519	40
SU59-13-49A	19241265	4263920	2666	1691	3514	41
SU59-13-50	19241575	4263394	2682	1665	3513	32
SU59-13-51	19242967	4263394	2751	1665	3493	45
SU59-13-51A	19242707	4263900	2738	1690	3511	35
SU59-13-54	19245659	4263300	2886	1661	3489	35
SU59-15-48	19240201	4261820	2613	1586	3519	52
SU59-15-49	19240845	4261300	2645	1560	3517	51
SU59-15-52	19243569	4260932	2781	1542	3497	54
SU59-16-48	19240006	4260438	2603	1517	3541	38
SU59-6-52	19244240	4271800	2815	2085	3498	32.5
SU59-7-45	19239029	4270970	2554	2044	3533	42
SU59-7-46	19239364	4270500	2571	2020	3543	25
SU59-7-47	19240031	4270234	2605	2007	3541	41
SU59-7-52	19244102	4271246	2808	2060	3486	35
SU59-7-53	19244626	4271337	2834	2062	3483	37
SU59-8-47	19240465	4269129	2626	1952	3512	49
SU59-8-53	19244624	4269687	2834	1980	3484	38
SU59-9-48	19240761	4268660	2641	1929	3501	43.5
SU59-9-51	19242948	4268540	2750	1922	3485	46
SU59-9-51A	19243129	4267920	2759	1891	3484	42
SU59-9-53	19244638	4268040	2835	1897	3478	48
